Units		Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	BTU/lb	BTU/lb	
Method		ASTM E-1690-95	ASTM E-1755-95	ASTM E-1721-95 and T-250	ASTM E-1721-95 and LAP-004	ASTM E-1721-95	LAP-004	LAP-017	Scott 1979	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95	LAP-016	By Summation	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1755-95	Huffman 1	Huffman 1	AST D-537	By Difference	ASTM D-4239	ASTM E-1755-95	ASTM D-3172	ASTM D-3175	ASTM E-1755-95	ASTM D-2015 moisture free	ASTM D-2015 moisture free	
Samples	Variety	Extractives	Ash	Total Lignin	Total Lignin	Acid-Insoluble Lignin	Acid Soluble Lignin	Acetic acid	Uronic acids	Arabinan	Xylan	Mannan	Galactan	Glucan	Starch	Mass Closure	Cellulose	Hemicellulose [ASTM E-1821-96 or E-1758-95 %m]	Total Lignin	Ash	C	H	N	O	S	Ash	Fixed Carbon	Volatile Matter	Ash	HHV	LHV	Source
Hybrid Poplar	Caudina DN-34	3.29	1.31	26.43	NA	NA	NA	NA	4.67	0.69	15.17	2.2	0.91	42.39	NA	97.07	42.39	18.98	26.43	1.31	49.49	6.21	0.19	41.72	0.02	1.31	18.7	80.13	1.31	8395	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-34	3.35	0.56	23.74	NA	NA	NA	NA	NA	0.59	17.61	3.07	0.71	40.25	NA	89.87	40.25	21.98	23.74	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-34	2.09	0.8	23.87	NA	NA	NA	NA	NA	0.59	17.37	2.91	0.59	43.72	NA	91.95	43.72	21.47	23.87	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-182	3.14	0.81	23.34	NA	NA	NA	NA	NA	0.58	17.31	2.72	0.68	42.18	NA	90.77	42.18	21.29	23.34	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	NC-5260	4.47	0.56	21.54	NA	NA	NA	NA	NA	0.66	15.98	3.03	0.65	45.08	NA	91.96	45.08	20.31	21.54	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-17	4.08	0.94	23.54	NA	NA	NA	NA	NA	0.54	16.55	2.77	0.65	43.67	NA	92.72	43.67	20.5	23.54	0.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-34	1.62	0.63	23.98	NA	NA	NA	NA	NA	0.63	17.65	2.87	0.75	43.14	NA	91.26	43.14	21.89	23.98	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-34	2.94	0.72	24.01	NA	NA	NA	NA	NA	0.52	17.4	2.63	0.81	42.85	NA	91.88	42.85	21.36	24.01	0.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-34	3.22	0.85	23.91	NA	NA	NA	NA	NA	0.59	18.55	2.63	0.82	44.65	NA	95.22	44.65	22.59	23.91	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-17	3.07	0.77	23.07	NA	NA	NA	NA	NA	0.54	18.71	3.25	0.74	43.65	NA	93.8	43.65	23.24	23.07	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	NC-5260	3.74	0.52	21.09	NA	NA	NA	NA	NA	0.56	16.55	2.81	0.72	47.32	NA	93.3	47.32	20.64	21.09	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-182	2.62	0.69	23.58	NA	NA	NA	NA	NA	0.41	16.97	2.71	0.66	45.52	NA	93.15	45.52	20.75	23.58	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	DN-34	2.34	0.68	23.37	NA	NA	NA	NA	NA	0.48	17.26	2.75	0.68	45.67	NA	93.23	45.67	21.17	23.37	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
American Sycamore	Platanus occidentalis	5.49	1.24	24.1	NA	NA	NA	NA	4.93	0.5	14.38	1.8	1.1	38.6	NA	92.15	38.6	17.78	24.1	1.24	49.73	6.15	0.25	43.79	0.03	1.24	18.06	80.83	1.24	8414	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
American Sycamore	Platanus occidentalis	2.98	1.23	27.12	NA	NA	NA	NA	4.11	0.49	15.47	1.67	1	39.25	NA	93.32	39.25	18.63	27.12	1.23	49.84	5.7	0.27	39.81	0.06	1.23	20.63	79.37	1.23	8481	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
American Sycamore	Platanus occidentalis	3.17	1.56	27.3	NA	NA	NA	NA	NA	0.51	16.33	1.79	0.93	37.24	NA	86.51	37.24	19.57	27.3	1.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
American Sycamore	Platanus occidentalis	1.73	0.67	25.18	NA	NA	NA	NA	4.49	0.5	14.31	1.97	0.8	41.6	NA	91.26	41.6	17.58	25.18	0.67	49.42	6.08	0.21	43.04	0.04	0.67	18.48	80.8	0.67	8354	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
American Sycamore	Platanus occidentalis	1.62	1.05	25.04	NA	NA	NA	NA	NA	0.47	15.33	2.06	0.88	41.75	NA	85.54	41.75	18.76	25.04	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sugarcane Bagasse	Gramineae Saccharum var. 65-7052	3.78	3.66	23.09	NA	NA	NA	NA	2.16	2.06	22.05	0.35	0.46	39.01	NA	96.62	39.01	24.91	23.09	3.66	48.4	6.01	0.17	41.61	0.02	3.66	17.88	79.35	3.66	8349	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sugarcane Bagasse	Gramineae Saccharum var. 65-7052	1.52	2.84	24.09	NA	NA	NA	NA	1.28	1.6	23.11	0.3	0.45	43.39	NA	98.59	43.39	25.46	24.09	2.84	48.97	5.48	0.15	39.2	0.02	2.84	17.02	81.11	2.84	8186	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sugarcane Bagasse	Gramineae Saccharum var. 65-7052	2	4.04	24.05	NA	NA	NA	NA	1.28	1.52	23.09	0.3	0.49	42.64	NA	99.4	42.64	25.4	24.05	4.04	48.51	5.83	0.16	41.22	0.02	4.04	18.84	78.55	4.04	8174	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sugarcane Bagasse	Gramineae Saccharum var. 65-7052	1.78	4.22	23.89	NA	NA	NA	NA	1.23	1.67	22.96	0.32	0.51	41.82	NA	98.42	41.82	25.47	23.89	4.22	48.22	5.67	0.16	41.63	0.03	4.22	17.58	79.71	4.22	8195	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
