Units	Factor	Factor	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	kJ/g	kJ/g	Text
Class	Material	Entity	Fixed Carbon	Volatiles	Ash	C	H	O	N	S	Cl	HHV_meas	HHV_calc	Source
Silvicultural	Wood	Willow SA22.1Yr	16.67	81.83	1.5	49.75	6	42.01	0.65	0.09	0.01	19.67	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Willow SA22.3Yr	16.07	82.22	1.71	49.9	5.9	41.81	0.61	0.07	0	19.59	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Willow SA22.Top	17.99	79.67	2.34	49.42	5.89	41.27	0.96	0.12	0	19.79	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Willow SA22-Butt	14.81	84.13	1.06	48.95	6.05	43.54	0.36	0.04	0.01	19.37	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Industrial	Reclaimed	Wood Demolition	12.32	74.56	13.12	46.3	5.39	34.5	0.57	0.12	0.05	18.41	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Wood Land Clearing	13.87	69.63	16.5	42.32	5.02	35.77	0.33	0.06	0.02	17.23	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Industrial	Reclaimed	Wood Yard Waste	13.59	66.04	20.37	41.54	4.79	32.21	0.85	0.24	0.3	16.3	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Industrial	Reclaimed	Mixed Waste Paper	7.42	84.25	8.33	47.99	6.63	36.84	0.14	0.07	NA	20.78	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Industrial	Reclaimed	Refuse Derived Fuel Tacoma	0.47	73.4	26.13	39.7	5.78	27.24	0.8	0.35	NA	15.54	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Industrial	Reclaimed	Shredded Currency	11.67	82.86	5.47	42.89	5.67	43.62	1.75	0.3	NA	18.3	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Red Oak Sawdust	13.47	86.22	0.31	49.96	5.92	43.77	0.03	0.01	0	19.48	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Fir Mill Waste	17.48	82.11	0.41	51.23	5.98	42.29	0.06	0.03	0.19	20.42	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Industrial	Wood	Furniture Waste	13.39	83	3.61	40.29	5.91	40.29	0.29	0.03	0	20.14	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Hybrid Poplar	12.49	84.81	2.7	50.18	6.06	40.44	0.6	0.02	0.01	19.02	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Alder/Fir Sawdust	19.31	76.56	4.13	51.2	5.8	38.54	0.46	0.05	0.02	20.38	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Poplar Coarse	12.26	86.14	1.6	50.82	5.89	41.08	0.59	0.02	0.04	18.93	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Forest Residuals	13.62	82.41	3.97	50.31	4.59	39.99	1.03	0.11	0.04	20.17	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Christmas Trees	20.8	73.99	5.21	51.59	5.58	36.7	0.52	0.4	NA	20.95	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Mixed	Wood Fuel Blend CFB-1 (urban wood-ag)	19.79	75.89	4.32	51.44	5.67	38.13	0.41	0.03	0.01	20.5	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Mixed	Wood Fuel Blend FBC-1 (urban wood-ag)	16.93	80.57	2.5	49.69	5.87	41.57	0.33	0.04	0.05	19.49	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
