Entity	Value	Units	Type	Source	Temperature
Nitrogen 	0.024	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Nylon 6 	0.250	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Oil, machine lubricating SAE 50 "	0.150	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Olive oil 	0.170	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Oxygen 	0.024	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Paper 	0.050	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Paraffin Wax 	0.250	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Perlite, atmospheric pressure "	0.031	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Perlite, vacuum "	0.001	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Plaster, gypsum "	0.480	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Plaster, metal lath "	0.470	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Plaster, wood lath "	0.280	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Plastics, foamed (insulation materials) "	0.030	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Platinum 	70.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Platinum 	71.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	125
Platinum 	72.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	225
Plywood 	0.130	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Polyethylene HD 	0.420	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Polyethylene HD 	0.510	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Polypropylene 	0.100	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Polypropylene 	0.220	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Polystyrene expanded 	0.030	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Polyurethane foam 	0.020	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Porcelain 	1.500	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
PTFE 	0.250	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
PVC 	0.190	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Pyrex glass 	1.005	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Quartz mineral 	3.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Rock Wool insulation 	0.045	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Rock, porous volcanic (Tuff) "	0.500	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Rock, porous volcanic (Tuff) "	2.500	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Rock, solid "	2.000	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Rock, solid "	7.000	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Sand, dry "	0.150	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
