Entity	Value	Units	Phase	Notes	Source
Synthetic Natural Gas	0.0377	MJ/L	Gas	from Further Processing of MEG and Biogas	"T. Reed, 1979"
Methane	0.0378	MJ/L	Gas	"(1.013bar, 15¡C) (burned in air)"	http://en.wikipedia.org/wiki/Energy_density
Natural gas	0.0383	MJ/L	Gas		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
"Hydrogen, compressed at 700 bar"	5.6	MJ/L	Gas		http://en.wikipedia.org/wiki/Energy_density
Water at 100 m dam height	0.001	MJ/L	Liquid		http://en.wikipedia.org/wiki/Energy_density
Methanol	15.6	MJ/L	Liquid		http://en.wikipedia.org/wiki/Energy_density
Ethanol	23.4	MJ/L	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Ethanol	24	MJ/L	Liquid		http://en.wikipedia.org/wiki/Energy_density
Biodiesel	34.5	MJ/L	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Gasoline	35	MJ/L	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Diesel	36.4	MJ/L	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
"Softwood Chips, 0% MC"	3.4	MJ/L	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Walnut Shells, 0% MC"	4.642	MJ/L	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Cord Wood, Oven Dry"	6	MJ/L	Solid	Assuming 20 MJ/kg	http://bioenergy.ornl.gov/papers/misc/energy_conv.html
"Wood Pellets, 0% MC"	11.96	MJ/L	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
Natural gas	52.22466124	MJ/kg	Gas		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Hydrogen	142.1813515	MJ/kg	Gas		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Still gas (in refineries)	50.95088901	MJ/kg	Gas		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Crude oil	45.54299237	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Conventional gasoline	46.53569665	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Reformulated or low-sulfur gasoline	45.43270818	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
CA reformulated gasoline	45.57657624	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
U.S. conventional diesel	45.76630824	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Low-sulfur diesel	45.5748586	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Petroleum naphtha	48.07463066	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
NG-based FT naphtha	47.65406564	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Residual oil	42.2101823	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Methanol	22.88384788	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Ethanol	29.84700157	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Butanol	37.33374402	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Acetone	31.86167786	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
E-Diesel Additives	46.53569665	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Liquefied petroleum gas (LPG)	50.15160743	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Liquefied natural gas (LNG)	55.20592434	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Dimethyl ether (DME)	31.68063989	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Dimethoxy methane (DMM)	25.67010215	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
"Methyl ester (biodiesel, BD)"	40.16762479	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Fischer-Tropsch diesel (FTD)	45.47143761	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
